label,sweep,m_easy,m_medium,m_hard,seed,verify_token_budget,Y,min_x,x_p10,x_median,x_max,eta,verifier_tokens_per_s,fill_ratio,mean_batch_size,target_utilization,mean_selected_gamma,share_easy_gsm8k,x_mean_easy_gsm8k,x_min_easy_gsm8k,alpha_hat_mean_easy_gsm8k,alpha_ucb_mean_easy_gsm8k,gamma_mean_easy_gsm8k,verification_opportunities_easy_gsm8k,verifier_token_positions_easy_gsm8k,verifier_token_share_easy_gsm8k,committed_useful_tokens_easy_gsm8k,committed_useful_token_share_easy_gsm8k,avg_wait_ms_easy_gsm8k,avg_z_queue_easy_gsm8k,share_medium_cnn_summarize,x_mean_medium_cnn_summarize,x_min_medium_cnn_summarize,alpha_hat_mean_medium_cnn_summarize,alpha_ucb_mean_medium_cnn_summarize,gamma_mean_medium_cnn_summarize,verification_opportunities_medium_cnn_summarize,verifier_token_positions_medium_cnn_summarize,verifier_token_share_medium_cnn_summarize,committed_useful_tokens_medium_cnn_summarize,committed_useful_token_share_medium_cnn_summarize,avg_wait_ms_medium_cnn_summarize,avg_z_queue_medium_cnn_summarize,share_hard_math,x_mean_hard_math,x_min_hard_math,alpha_hat_mean_hard_math,alpha_ucb_mean_hard_math,gamma_mean_hard_math,verification_opportunities_hard_math,verifier_token_positions_hard_math,verifier_token_share_hard_math,committed_useful_tokens_hard_math,committed_useful_token_share_hard_math,avg_wait_ms_hard_math,avg_z_queue_hard_math
mhard_1_wide10,a_wide10,1.0,1.0,1.0,1,10,40.95548619434776,1.443512066498318,1.4917294355130413,1.825914471500683,2.633390525712473,0.7501491201908739,46.52825151752633,0.720687802256851,1.8275120902740465,0.720687802256851,2.943546015877683,0.3479718091978837,2.0359078039465914,1.8202233170062707,0.8802270681014924,0.9998079620361264,2.876048462255359,1073,4159.0,0.3100954369221592,3360,0.3339628267567836,1219.702892013039,0.0,0.3518690350095422,1.601218600616864,1.443512066498318,0.7596413179617834,0.9769174179932282,3.3297697368421053,1216,5265.0,0.3925589024753951,3341,0.3320743464864327,1285.7913125047749,0.0,0.3001591557925741,2.45863283223397,2.3312693870994403,0.9085373047856168,0.9997783387378888,2.5863309352517985,1112,3988.0,0.2973456606024455,3360,0.3339628267567836,921.0900170731582,0.0
mhard_2_wide10,a_wide10,1.0,1.0,2.0,1,10,42.06581141682649,1.403570738481923,1.5297493398660529,1.842447993119556,2.7694585793952906,0.7660627283800243,46.1961960126964,0.7241455347298786,1.8439911797133408,0.7241455347298786,2.927055306427504,0.3483910445251431,2.0936217111865534,1.8340324660192728,0.8978252951188282,0.999993601944527,2.842843779232928,1069,4108.0,0.3127283800243605,3360,0.3338964523501938,1194.2166121475725,0.0,0.3498683406906608,1.6352772933568156,1.403570738481923,0.7554407216291613,0.9787296803403148,3.297142857142857,1225,5264.0,0.4007308160779537,3343,0.3322070952996124,1245.9383563667484,0.0,0.301740614784196,2.538592759661856,2.363264595046588,0.939258965941878,0.9999990000000004,2.581351094196004,1051,3764.0,0.2865408038976857,3360,0.3338964523501938,959.6497414551856,0.0
mhard_4_wide10,a_wide10,1.0,1.0,4.0,1,10,39.98595294023128,1.364987896355596,1.4584413717419111,1.7452242159993745,2.6443883897312905,0.7577988614800759,44.64989570091497,0.7110091743119266,1.799784133837021,0.7110091743119266,2.9505247376311843,0.3432314772474125,1.9606339566887283,1.5898520045647213,0.8871671054319498,0.999918762396122,2.899904671115348,1049,4091.0,0.3105123339658444,3293,0.3298277243589743,1295.880149485474,0.0,0.351792567422742,1.562973449520989,1.364987896355596,0.7421217976906525,0.9742584059844646,3.323817292006525,1226,5301.0,0.4023529411764706,3331,0.3336338141025641,1312.687404980807,0.0,0.3049759553298456,2.438950839544257,2.2773988547259854,0.9293135247346505,0.9999990000000002,2.568867924528302,1060,3783.0,0.287134724857685,3360,0.3365384615384615,1007.0414589640794,0.0
mhard_8_wide10,a_wide10,1.0,1.0,8.0,1,10,41.98192337571839,1.4279975020996485,1.5044533189739997,1.844904321584622,2.8116426568954305,0.7666181093306754,46.22020033676221,0.7234054353854686,1.8280643372157517,0.7234054353854686,2.957220873786408,0.3478128751218167,2.0859790674932026,1.7421322143002405,0.8936118498854106,0.9999990000000004,2.899029126213592,1030,4016.0,0.3079046231695162,3309,0.3309330933093309,1228.0961187090177,0.0,0.3480052507498467,1.6233255301475251,1.4279975020996485,0.7461731655091715,0.9743051714422456,3.3289689034369885,1222,5290.0,0.4055815379897263,3330,0.333033303330333,1251.5329423297417,0.0,0.3041818741283366,2.554028026387649,2.3813520375913675,0.9328228137392108,0.9999990000000004,2.5795019157088124,1044,3737.0,0.2865138388407575,3360,0.336033603360336,961.707133336608,0.0
mhard_16_wide10,a_wide10,1.0,1.0,16.0,1,10,41.52402834372272,1.4249091918997037,1.499033320583482,1.834411809148789,2.7681854998431006,0.7661179698216736,46.134016955218485,0.7201975850713502,1.826015367727772,0.7201975850713502,2.944093778178539,0.3481968702684357,2.065505244317438,1.8338554850412865,0.9023820742558673,0.9999990000000002,2.8669856459330143,1045,4041.0,0.3079561042524005,3360,0.3342285884810504,1250.7810928499384,0.0,0.3475178710215874,1.6033713251389523,1.4249091918997037,0.745576180058866,0.9775271306756738,3.331967213114754,1220,5285.0,0.4027587258039933,3333,0.3315428230378991,1276.442975203582,0.0,0.3042852587099767,2.5270299414500146,2.362601691350924,0.9301376196484776,0.9999990000000002,2.574387947269303,1062,3796.0,0.2892851699436061,3360,0.3342285884810504,961.214602688008,0.0
mhard_32_wide10,a_wide10,1.0,1.0,32.0,1,10,41.62071109655722,1.4401129902904255,1.524629383150624,1.8140361542281391,2.750555294873894,0.7575323892738777,47.10749314773486,0.726655719759168,1.8489326765188836,0.726655719759168,2.9301361752516284,0.3442187301682977,2.046661188908358,1.7698949746394166,0.8794889864097869,0.9994826049624416,2.853503184713376,1099,4235.0,0.3189966857487195,3360,0.3340956547678234,1185.3746281414835,0.0,0.351575107716301,1.6258673318890169,1.4401129902904255,0.758883653509255,0.9822463153715828,3.305532617671346,1211,5214.0,0.3927387767399819,3337,0.3318086904643532,1270.3350278342737,0.0,0.3042061621154012,2.532255357439513,2.3844708794273743,0.9266571348688252,0.999999,2.583333333333333,1068,3827.0,0.2882645375112986,3360,0.3340956547678234,938.422563776228,0.0
mhard_64_wide10,a_wide10,1.0,1.0,64.0,1,10,41.37435375622061,1.4248294013939724,1.5265509788134486,1.8407839818725056,2.7417981336522623,0.7659428571428571,46.069577420916985,0.715258855585831,1.817983651226158,0.715258855585831,2.934352517985612,0.3438150885499825,2.0321610143418987,1.7648604446386469,0.8982395788830666,0.9998331476021118,2.840593141797961,1079,4144.0,0.3157333333333333,3360,0.3342285884810504,1223.3348640798577,0.0,0.3508863388809505,1.6130772792317278,1.4248294013939724,0.7594795420575462,0.9809859761274502,3.3233830845771144,1206,5214.0,0.3972571428571428,3333,0.3315428230378991,1295.395178634531,0.0,0.3052985725690667,2.526306228548351,2.35876236395095,0.9309682282506448,0.9999990000000004,2.5842055185537585,1051,3767.0,0.2870095238095238,3360,0.3342285884810504,968.8062282758832,0.0
mhard_1_wide10,a_wide10,1.0,1.0,1.0,2,10,37.24483857891633,1.2889185648916166,1.3452348751179275,1.6722692359356046,2.354325216986496,0.7648535564853557,41.25821665514694,0.695134849286092,1.7646747752511898,0.695134849286092,2.9391669163919687,0.353406325690301,1.8803659361575988,1.6622598043848562,0.9022952698775144,0.9999990000000004,2.847195357833656,1034,3978.0,0.302624572080639,3360,0.3341953451362642,1423.9953218255623,0.0,0.3483147648387342,1.4414363545635398,1.2889185648916166,0.7748898775920054,0.985897660771981,3.3538331929233363,1187,5168.0,0.3931532902244199,3334,0.3316093097274716,1494.711740014084,0.0,0.2982789094709648,2.221869966948257,2.1092066635419355,0.9193391089479837,0.9996580421796104,2.583333333333333,1116,3999.0,0.304222137694941,3360,0.3341953451362642,1058.4587309177325,0.0
mhard_2_wide10,a_wide10,1.0,1.0,2.0,2,10,37.5796985401838,1.3239997107244992,1.348414257484085,1.6698488031524976,2.447354539252573,0.7738956441434508,41.75642694797336,0.7031385281385282,1.781926406926407,0.7031385281385282,2.945945945945946,0.3493534708991257,1.8755140171937168,1.657553697890292,0.8882840651161268,0.9999990000000002,2.846227316141356,1047,4027.0,0.3099122672002463,3360,0.3341288782816229,1405.2397559361734,0.0,0.3475439962695035,1.4511776232509672,1.3239997107244992,0.7868702445800343,0.9890207084026408,3.3706233988044407,1171,5118.0,0.3938740957364938,3336,0.3317422434367542,1507.855627460721,0.0,0.3031025328313708,2.278100362113816,2.159482754274134,0.9363360691814844,0.9999877552129868,2.5804651162790697,1075,3849.0,0.29621363706326,3360,0.3341288782816229,1079.4601313019964,0.0
mhard_4_wide10,a_wide10,1.0,1.0,4.0,2,10,37.56982857745226,1.269197599111623,1.3489969002717854,1.695626868625157,2.497537735027945,0.7727798780958259,41.69566606936907,0.7055525313010342,1.7898747958628198,0.7055525313010342,2.9419099756691,0.3472907976892503,1.8639508193873984,1.678557843394055,0.8938175834432208,0.9999990000000004,2.861271676300578,1038,4008.0,0.3092353985032019,3360,0.3354632587859425,1419.24038154988,0.0,0.3460254459532411,1.4444574097666378,1.269197599111623,0.773921184941954,0.9861064971335604,3.3620102214650767,1174,5121.0,0.3951084021294653,3296,0.329073482428115,1493.5270067382608,0.0,0.3066837563575085,2.3044112307681464,2.161830691969448,0.9278374016921842,0.999999,2.5613382899628254,1076,3832.0,0.2956561993673328,3360,0.3354632587859425,1065.6712474426702,0.0
